작가명,경매일,작품정보,추정가,낙찰가,차액
조방원 趙邦元,2023.12.21,산수 山水 | 1957년(정유) | 종이에 수묵담채 | 33x32.5cm,"300,000 - 800,000",낙찰 X,N/A
송영방 宋榮邦,2023.12.21,산수 山水 | 종이에 수묵담채 | 66x90cm | 은진 恩津,"1,000,000 - 2,000,000",낙찰 X,N/A
허건 許楗,2023.12.21,산수십곡병 山水十曲屛 | 1957년(정유) | 종이에 수묵담채 | 111x30.4cmx10 | 양천 陽川,"5,000,000 - 10,000,000",낙찰 X,N/A
장욱진 張旭鎭,2023.12.21,무제 無題 | 1988년 | 종이에 수묵 | 31x23.5cm,"2,000,000 - 4,500,000",낙찰 X,N/A
오윤 吳潤,2023.12.21,메아리소년 가슴에 해를 안고 : 사후판화 | 종이에 판화 | 22x16cm | 해주 海州,"600,000 - 1,200,000","900,000","300,000"
남관 南寬,2023.12.21,근하신년 謹賀新年 | 1977년 | 종이에 수채 | 17.2x12cm | 영양 英陽,"400,000 - 800,000",낙찰 X,N/A
김경민 Kim Kyungmin,2023.12.21,사랑의 기념비 | 브론즈에 아크릴 | 44x17x17cm,"2,000,000 - 4,000,000",낙찰 X,N/A
백자청화운룡문준 白磁靑畵雲龍文樽,2023.12.21,| 19세기 | 34.5x21.7x13cm,"3,500,000 - 7,000,000",낙찰 X,N/A
백자편병 白磁扁甁,2023.12.21,| 16-17세기 | 19.5x4.2x8cm,"5,000,000 - 10,000,000",낙찰 X,N/A
백자청화모란문호 白磁靑畵牧丹文壺,2023.12.21,| 19세기 | 25.5x13x12.5cm,"7,000,000 - 15,000,000",낙찰 X,N/A
분청자편병 粉靑磁扁甁,2023.12.21,| 15세기 | 20x4.3x8.3cm,"5,000,000 - 10,000,000",낙찰 X,N/A
청자상감국화문유병 靑磁象嵌菊花文釉甁,2023.12.21,| 13세기 | 4.6x2.6x4.9cm,"800,000 - 2,000,000",낙찰 X,N/A
청자음각분합 靑磁陰刻粉盒,2023.12.21,| 13세기 | 3.7x7.5x7.5cm,"800,000 - 2,000,000",낙찰 X,N/A
백자청화운룡문호 白磁靑畵雲龍文壺,2023.12.21,| 19세기 | 42x17x17.5cm,"4,000,000 - 8,000,000","4,000,000",0
분청자상감어문매병 粉靑磁象嵌魚文梅甁,2023.12.21,| 15세기 | 26x6x9.9cm,"7,000,000 - 16,000,000",낙찰 X,N/A
분청자인화문대접 粉靑磁印花文大楪,2023.12.21,| 15세기 | 6.3x7.2x20.2cm,"2,000,000 - 5,000,000",낙찰 X,N/A
분청자인화문내섬명발 粉靑磁印花文內贍銘鉢,2023.12.21,| 15세기 | 7.1x17.5x7cm,"1,000,000 - 2,500,000",낙찰 X,N/A
분청자인화문대접 粉靑磁印花文大楪,2023.12.21,| 15세기 | 6x21x6.6cm,"1,500,000 - 3,000,000",낙찰 X,N/A
한양고려소 漢陽高麗燒,2023.12.21,청자상감국화문병 靑磁象嵌菊花文花甁 | 23x6.6x6.1cm,"500,000 - 1,500,000","1,000,000","500,000"
삼화고려소 三和高麗燒,2023.12.21,청자상감운학문완 靑磁象嵌雲鶴文盌 | 5.2x17.5x6.3cm,"500,000 - 1,500,000","1,200,000","700,000"
위원단계연 渭原端溪硯,2023.12.21,| 돌에 조각 | 2.2x13.2x7.5cm,"300,000 - 800,000","450,000","150,000"
곱돌약함 藥函,2023.12.21,| 돌에 조각 | 18x15x9.5cm,"1,000,000 - 2,000,000","1,300,000","300,000"
매죽문일월연 梅竹文日月硯,2023.12.21,| 돌에 조각 | 2.2x25x16cm,"2,000,000 - 4,500,000",낙찰 X,N/A
등용문일월연 登龍門日月硯,2023.12.21,| 돌에 조각 | 1x18.5x9.2cm,"900,000 - 2,000,000",낙찰 X,N/A
송하인물위원연 松下人物渭原硯,2023.12.21,| 돌에 조각 | 3.2x25.7x13.5cm,"12,000,000 - 25,000,000",낙찰 X,N/A
장생·가릉빈가일월연 長生·迦陵頻伽日月硯,2023.12.21,| 돌에 조각 | 2.4x30x17.6cm,"20,000,000 - 45,000,000","20,000,000",0
나전칠기수복강녕문사각필통 螺鈿漆器壽福康寧文四角筆筒,2023.12.21,"| 나무에 옻칠, 나전장식 | 13x9.1x9.1cm","1,200,000 - 3,000,000","1,600,000","400,000"
통영칠기제작소 統營漆器製作所,2023.12.21,"나전칠기사각함 螺鈿漆器四角涵 | 나무에 옻칠, 나전장식 | 7.1x11.5x20.6cm","700,000 - 2,000,000","1,300,000","600,000"
해시상회 海市商會,2023.12.21,"나전칠기사각접시 螺鈿漆器四角楪匙 5점 | 나무에 옻칠, 나전장식 | 1.8x18x18cmx5","500,000 - 1,300,000","800,000","300,000"
이왕가미술공장조 李王家美術工場造,2023.12.21,동제신선로 銅製神仙爐 | 15x20x20cm,"1,000,000 - 2,500,000",낙찰 X,N/A
조선미술품제작소 朝鮮美術品製作所,2023.12.21,은제작 銀製爵 | 15.7x7x14.5cm,"4,000,000 - 8,000,000",낙찰 X,N/A
조선미술품제작소 朝鮮美術品製作所,2023.12.21,투호 投壺 | 55.8x23.5x27cm,"6,000,000 - 12,000,000",낙찰 X,N/A
석조동자·동녀 石彫童子·童女,2023.12.21,"| 돌에 조각, 채색 | 19.4x6.7x8cm, 19.7x6.7x7.5cm","12,000,000 - 25,000,000","12,000,000",0
목조사자상 木彫獅子像,2023.12.21,"| 나무에 조각, 채색 | 28x44x19cm","20,000,000 - 45,000,000",낙찰 X,N/A
오세창 吳世昌,2023.10.26,전우보반치 全迂補半痴 | 1944년(갑신) | 종이에 먹 | 29x97.5cm | 해주 海州/중명 仲銘,"500,000 - 1,500,000","700,000","200,000"
김응원 金應元,2023.10.26,우천하사 독고인서 友天下士 讀古人書 | 종이에 먹 | 25x48.5cm | 김해 金海/석범 錫範,"800,000 - 2,000,000","1,100,000","300,000"
김유탁 金有鐸,2023.10.26,천자문 千字文 | 종이에 먹 | 130.5x66.5cm | 청주 淸州,"1,000,000 - 2,300,000","1,100,000","100,000"
김규진 金圭鎭,2023.10.26,호암정사 虎岩精舍 | 종이에 먹 | 34.7x125cm | 남평 南平/용삼 容三,"700,000 - 2,000,000",낙찰 X,N/A
이한복 李漢福,2023.10.26,시고 詩稿 3수 | 1931년(신미) | 종이에 먹 | 23.0x13.0cmx3 | 전의 全義,"600,000 - 1,500,000","600,000",0
이방자 李方子,2023.10.26,지덕불고 至德不孤 | 종이에 먹 | 29x112cm,"600,000 - 1,200,000",낙찰 X,N/A
유희강 柳熙綱,2023.10.26,춘화추실 春華龝實 | 1970년(경술) | 종이에 먹 | 32x125.5cm | 진주 晋州,"1,000,000 - 2,500,000",낙찰 X,N/A
강진희 姜璡熙,2023.10.26,낙지론 樂志論 | 종이에 먹 | 139.3x33.8cm | 진주 晋州,"1,000,000 - 2,500,000",낙찰 X,N/A
김태석 金台錫,2023.10.26,주백려치가요결 朱柏廬治家要訣 | 1936년(병자) | 종이에 먹 | 138.5x34.5cmx12 | 경주 慶州,"2,500,000 - 5,000,000","3,400,000","900,000"
오세창 吳世昌,2023.10.26,시고 詩稿 | 종이에 먹 | 130.8x41cm | 해주 海州/중명 仲銘,"800,000 - 2,000,000",낙찰 X,N/A
정학교 丁學敎,2023.10.26,시고 詩稿 | 1906년(병오) | 비단에 먹 | 117x41cm | 나주 羅州/화경 化境,"1,000,000 - 2,000,000",낙찰 X,N/A
김돈희 金敦熙,2023.10.26,시고 詩稿 2점 | 종이에 먹 | 131.9x32cmx2 | 경주 慶州/공숙 公叔,"1,000,000 - 2,500,000","1,000,000",0
손재형 孫在馨,2023.10.26,반야심경 般若心經 | 1931년(신미) | 종이에 먹 | 145.5x33.5cmx12 | 밀양 密陽,"4,000,000 - 8,000,000","7,000,000","3,000,000"
김응현 金膺顯,2023.10.26,예서 隸書 대련 | 1992년(임신) | 종이에 먹 | 135x68.5cmx2 | 안동 安東/선경 善卿,"1,500,000 - 4,000,000",낙찰 X,N/A
서희환 徐喜煥,2023.10.26,쎵뿛 | 1978년 | 종이에 먹 | 30.5x64cm | 이천 利川,"500,000 - 1,500,000",낙찰 X,N/A
이철경 李喆卿,2023.10.26,한산도가 閑山島歌 : 이순신 李舜臣 시 | 1976년(병진) | 종이에 먹 | 108x33cm | 한산 韓山,"400,000 - 1,000,000","400,000",0
김정희 金正喜,2023.10.26,"담향산창 淡香山窓 : 편액 | 나무에 서각, 채색 | 29x75cm | 경주 慶州/원춘 元春","2,000,000 - 4,500,000","3,100,000","1,100,000"
김정희 金正喜,2023.10.26,"길금정석재 吉金貞石齋 : 편액 | 나무에 서각, 채색 | 30x147.7cm | 경주 慶州/원춘 元春","3,000,000 - 7,000,000","4,300,000","1,300,000"
옹방강 翁方綱,2023.10.26,옹수곤득남시차운 翁樹崑得男詩次韻 | 1814년 | 종이에 먹 | 30.1x43.6cm,"6,000,000 - 14,000,000","6,000,000",0
"영조대왕 英祖大王, 조운규 趙雲逵",2023.10.26,영화당명 갱재첩 暎花堂銘 賡載帖 | 34.7x24.1cm(12면),"4,500,000 - 8,000,000","4,500,000",0
허목 許穆,2023.10.26,예의염치 禮義廉恥·시고 詩稿 | 종이에 먹 | 38.8x59cmx3 | 양천 陽川/화보 和甫,"1,500,000 - 3,500,000","3,100,000","1,600,000"
傳 유한지 兪漢芝,2023.10.26,"필첩 筆帖 2건 | 종이에 먹 | 29.8x17.8cm(10면), 32.5x17cm(8면) | 기계 杞溪/덕휘 德輝","2,000,000 - 4,000,000","2,100,000","100,000"
傳 이광사 李匡師,2023.10.26,필첩 筆帖 | 종이에 먹 | 31x19cm(21면) | 전주 全州/도보 道甫,"1,500,000 - 3,000,000",낙찰 X,N/A
방중원 方重遠,2023.10.26,연하장 年賀狀 : 경봉 鏡峰스님(1892-1982)에게 | 종이에 먹 | 9x14cm | 온양 溫陽,"3,000,000 - 6,000,000",낙찰 X,N/A
조익 趙翼 외,2023.10.26,서간첩 書簡帖 | 종이에 먹 | | 풍양 豐壤/비경 飛卿,"4,000,000 - 8,000,000",낙찰 X,N/A
이준 李儁,2023.10.26,시고 詩稿 | 비단에 먹 | 147x40.6cm | 전주 全州/순칠 舜七,"5,000,000 - 12,000,000","5,200,000","200,000"
박영효 朴泳孝,2023.10.26,시고 詩稿 | 종이에 먹 | 131.3x32.7cm | 반남 潘南/자순 子純,"300,000 - 700,000",낙찰 X,N/A
김윤식 金允植,2023.10.26,시고 詩稿 | 1916년 | 비단에 먹 | 163x52.6cm | 청풍 淸風/순경 洵卿,"600,000 - 1,500,000",낙찰 X,N/A
김상옥 金相沃,2023.10.26,몰자풍비무현고조 沒字豊碑無絃古調 | 1982년(임술) | 종이에 먹 | 19.5x124cm | 김해 金海,"1,000,000 - 2,000,000",낙찰 X,N/A
이은상 李殷相,2023.10.26,다정불심 多情佛心·산수 山水 | 종이에 먹 | 26.2x61cm | 전주 全州,"600,000 - 1,400,000","1,100,000","500,000"
박두진 朴斗鎭,2023.10.26,"시고 詩稿 2점 : 이백 李白, 두보 杜甫 | 종이에 먹 | 63.5x33.2cmx2 | 경주 慶州","600,000 - 1,800,000","600,000",0
윤보선 尹潽善,2023.10.26,청천세심 淸泉洗心 | 1983년(계해) | 종이에 먹 | 29.7x95cm | 해평 海平,"800,000 - 2,000,000","1,700,000","900,000"
윤극영 尹克榮,2023.10.26,반달 | 종이에 먹 | 32.5x106cm | 해평 海平,"300,000 - 800,000","1,300,000","1,000,000"
함석헌 咸錫憲,2023.10.26,"편지 : 엽서, 사진 | 1965년 | 종이에 펜 | 14x9cm | 강릉 江陵","800,000 - 1,800,000","800,000",0
김규진 金圭鎭,2023.10.26,해강난죽보 海岡蘭竹譜 상上·하下 | 1915년 | 종이에 인쇄 | 29.5x18.3cmx2 | 남평 南平/용삼 容三,"1,000,000 - 2,000,000","1,000,000",0
김규진 金圭鎭,2023.10.26,육체필론습자첩 六體筆論習字帖 건乾·곤坤 | 1915년 | 종이에 인쇄 | 35.8x31cmx2 | 남평 南平/용삼 容三,"1,000,000 - 2,000,000","1,400,000","400,000"
아사카와 다쿠미 淺川巧,2023.10.26,조선도자명고朝鮮陶磁名考 | 1931년 | 23x16cm,"500,000 - 1,200,000","1,300,000","800,000"
백제백와지미 百濟百瓦之美,2023.10.26,| 종이에 탁본 | 30.3x24cm,"3,500,000 - 7,000,000",낙찰 X,N/A
황성하 黃成河,2023.10.26,설강시의 雪江詩意 : 선면 | 1916년(병진) | 종이에 수묵담채 | 19x53cm | 부평 富平,"500,000 - 1,300,000","600,000","100,000"
김은호 金殷鎬,2023.10.26,산수 山水 대련 : 호정 노원상湖亭 盧元相(1871-1926?) 선생께 | 1917년(정사) | 종이에 수묵담채 | 종이에 수묵담채/ 액자 147x42cmx2 | 상산 商山,"3,000,000 - 6,500,000",낙찰 X,N/A
김상옥 金相沃,2023.10.26,동천만춘 洞天滿春 : 부채 | 1980년(경신) | 종이에 수묵담채 | 18x40cm | 김해 金海,"800,000 - 1,800,000","800,000",0
서세옥 徐世鈺,2023.10.26,목동 牧童 | 종이에 수묵담채 | 34x34cm | 달성 達城,"1,000,000 - 2,300,000",낙찰 X,N/A
김기창 金基昶,2023.10.26,산수 山水 | 비단에 수묵담채 | 50.5x56cm | 김해 金海,"4,000,000 - 8,000,000",낙찰 X,N/A
김기창 金基昶,2023.10.26,장미 薔薇 | 1940년대 초 | 비단에 채색 | 55x41cm | 김해 金海,"5,000,000 - 10,000,000",낙찰 X,N/A
김은호 金殷鎬,2023.10.26,고사인물 高士人物 | 비단에 수묵담채 | 137.7x38.7cm | 상산 商山,"2,500,000 - 4,500,000",낙찰 X,N/A
이상범 李象範,2023.10.26,상림추월 霜林秋月 | 종이에 수묵담채 | 종이에 수묵담채/ 액자 139.8x34.6cm | 전주 全州,"4,000,000 - 8,000,000","4,600,000","600,000"
이도영 李道榮,2023.10.26,기명절지 器皿折枝 대련 | 1905년(을사) | 종이에 수묵담채 | 131.8x38.6cmx2 | 연안 延安/중일 仲一,"1,500,000 - 3,000,000",낙찰 X,N/A
김은호 金殷鎬,2023.10.26,휴금방우 携琴訪友 : 선면 | 비단에 수묵담채 | 13x34cm | 상산 商山,"600,000 - 1,200,000",낙찰 X,N/A
김권수 金權洙,2023.10.26,산수 山水 | 비단에 수묵 | 37.3x40.5cm,"500,000 - 1,300,000",낙찰 X,N/A
김은호 金殷鎬,2023.10.26,원숭이 猿猴 | 종이에 수묵담채 | 135.6x39.7cm | 상산 商山,"1,200,000 - 2,800,000","2,000,000","800,000"
이경승 李絅承,2023.10.26,호접 胡蝶 | 1912년(계해) | 종이에 수묵담채 | 123.5x31cm | 연안 延安/윤극 允極,"3,000,000 - 7,500,000",낙찰 X,N/A
허건 許楗,2023.10.26,산수십곡병 山水十曲屛 | 1946년(병술) | 종이에 수묵담채 | 114.6x32cmx10 | 양천 陽川,"7,000,000 - 13,000,000","7,000,000",0
김용진 金容鎭,2023.10.26,황국 黃菊·홍매 紅梅 대련 | 1958년 | 종이에 수묵담채 | 133.2x33.7cmx2 | 안동 安東/성구 聖九,"800,000 - 2,000,000","1,200,000","400,000"
김원룡 金元龍,2023.10.26,인성견성 人性犬性 | 1982년(임술) | 종이에 수묵담채 | 39.5x31.6cm | 의성 義城,"1,200,000 - 2,600,000","1,800,000","600,000"
김상옥 金相沃,2023.10.26,나무 樹 : 승춘고하진선연 承春高下盡嬋姸 | 1965년 | 종이에 수묵담채 | 75.3x21.3cm | 김해 金海,"800,000 - 1,800,000",낙찰 X,N/A
이한복 李漢福,2023.10.26,추강독조 秋江獨釣 : 부채 | 1941년(신사) | 종이에 수묵담채 | 12.5x41cm | 전의 全義,"600,000 - 1,200,000","600,000",0
작가미상,2023.10.26,오수초족 午睡初足 | 종이에 수묵 | 39.8x28cm,"1,000,000 - 2,300,000","1,100,000","100,000"
이상범 李象範,2023.10.26,춘계어락 春溪漁樂 | 1957년(정유) | 종이에 수묵담채 | 33x135.5cm | 전주 全州,"18,000,000 - 35,000,000",낙찰 X,N/A
최석환 崔奭煥,2023.10.26,묵포도 墨葡萄 | 종이에 수묵 | 53x34.5cm,"1,200,000 - 2,800,000","1,300,000","100,000"
허형 許瀅,2023.10.26,팔군자병 八君子屛 | 종이에 수묵 | 83.5x33.5cmx8 | 양천 陽川,"1,000,000 - 2,500,000",낙찰 X,N/A
까치호랑이 虎鵲,2023.10.26,| 104.5x56.3cm,"10,000,000 - 23,000,000","10,000,000",0
김기엽 金基燁,2023.10.26,산수 山水 | 종이에 수묵 | 132.5x44.2cm,"800,000 - 2,000,000","800,000",0
김규진 金圭鎭,2023.10.26,묵죽 墨竹 | 종이에 수묵 | 136.6x34.1cm | 남평 南平/용삼 容三,"700,000 - 1,500,000",낙찰 X,N/A
작가미상,2023.10.26,도해 渡海 | 종이에 수묵 | 21x17.5cm,"1,500,000 - 4,000,000","2,600,000","1,100,000"
송하서록 松下瑞鹿,2023.10.26,| 종이에 수묵채색 | 130x71cm,"10,000,000 - 25,000,000","21,000,000","11,000,000"
김용진 金容鎭,2023.10.26,화훼 花卉 | 1953년 | 종이에 수묵담채 | 33.5x132 | 안동 安東/성구 聖九,"500,000 - 1,500,000","500,000",0
지성채 池盛彩,2023.10.26,춘산세우 春山細雨 | 종이에 수묵담채 | 56x66cm | 충주 忠州,"300,000 - 1,000,000","550,000","250,000"
변관식 卞寬植,2023.10.26,연계폭포 煙溪瀑布 : 유당 김희순酉堂 金熙舜(1886-1968) 선생께 | 1931년(신미) | 종이에 수묵담채 | 131.6x32cm | 초계 草溪,"1,200,000 - 2,500,000","1,300,000","100,000"
노수현 盧壽鉉,2023.10.26,관폭 觀瀑 | 종이에 수묵담채 | 31.5x33.5cm | 광주 光州,"1,200,000 - 2,500,000","1,300,000","100,000"
박승무 朴勝武,2023.10.26,설경 雪景 | 1978년(무오) | 종이에 수묵담채 | 35x46cm | 반남 潘南,"800,000 - 1,600,000",낙찰 X,N/A
김기창 金基昶,2023.10.26,참새를 쫓는 독수리 | 종이에 수묵담채 | 137x110cm | 김해 金海,"10,000,000 - 20,000,000",낙찰 X,N/A
삼국지연의도십곡병 三國志演義圖十曲屛,2023.10.26,| 종이에 수묵담채 | 110x36.6cmx10,"10,000,000 - 25,000,000","10,000,000",0
이남호 李南浩,2023.10.26,충무공평생도십곡병 忠武公平生圖十曲屛 | 종이에 수묵담채 | 159x58cmx10,"3,000,000 - 7,000,000","4,600,000","1,600,000"
김규진 金圭鎭,2023.10.26,석란 石蘭 | 1928년(무진) | 종이에 수묵 | 34.2x134cm | 남평 南平/용삼 容三,"800,000 - 2,200,000","800,000",0
지운영 池雲英,2023.10.26,고사인물 高士人物 | 1930년 | 종이에 수묵담채 | 41x130cm | 충주 忠州,"1,000,000 - 2,300,000",낙찰 X,N/A
양기훈 楊基薰,2023.10.26,"산수 山水·화제 畵題 | 1908년(무신) | 비단에 수묵, 먹 | 109x35.6cmx2 | 중화 中和/치남 痴南","1,000,000 - 2,500,000",낙찰 X,N/A
김응원 金應元 외,2023.10.26,"한묵청연 翰墨淸緣 : 합작도 | 1904년(갑진) | 종이에 수묵담채, 먹 | 133.3x67.2cm | 김해 金海/석범 錫範","1,000,000 - 2,300,000","2,100,000","1,100,000"
화조팔곡병 花鳥八曲屛,2023.10.26,| 종이에 채색 | 71x34.2cmx8,"4,000,000 - 9,000,000",낙찰 X,N/A
정학교 丁學敎,2023.10.26,괴석사군자십곡병 怪石四君子十曲屛 | 1906년(병오) | 비단에 수묵담채 | 145x31.5cmx10 | 나주 羅州/화경 化境,"50,000,000 - 100,000,000",낙찰 X,N/A
양기훈 楊基薰,2023.10.26,월매 月梅 | 비단에 수묵 | 127.5x16.5cm | 중화 中和/치남 痴南,"800,000 - 2,000,000","1,000,000","200,000"
작가미상,2023.10.26,매조 梅鳥 | 종이에 수묵담채 | 43.7x27.3cm,"800,000 - 2,000,000","1,100,000","300,000"
김응원 金應元,2023.10.26,석란 石蘭 | 종이에 수묵 | 137.3x52.1cm | 김해 金海/석범 錫範,"1,000,000 - 2,300,000",낙찰 X,N/A
허련 許鍊,2023.10.26,산수 山水 | 종이에 수묵담채 | 64x35cm | 양천 陽川/정일 精一,"1,500,000 - 3,000,000","1,500,000",0
독경책가 讀經冊架,2023.10.26,| 종이에 수묵담채 | 91.1.x33cm,"700,000 - 1,500,000",낙찰 X,N/A
김윤보 金允輔,2023.10.26,산수 山水 | 비단에 수묵담채 | 126x39cm,"800,000 - 2,300,000",낙찰 X,N/A
채용신 蔡龍臣,2023.10.26,문관초상 文官肖像 | 비단에 수묵채색 | 107x62cm | 평강 平康/대유 大有,"50,000,000 - 80,000,000","50,000,000",0
황종하 黃宗河,2023.10.26,맹호 猛虎 | 1935년(을해) | 비단에 수묵담채 | 37x48.5cm | 부평 富平/동필 東必,"1,000,000 - 2,500,000","1,000,000",0
이용우 李用雨,2023.10.26,백두성봉 白頭聖峰 | 종이에 수묵담채 | 31x48cm | 경주 慶州/창윤 蒼潤,"500,000 - 1,300,000","600,000","100,000"
허행면 許行冕,2023.10.26,사계산수팔곡병 四季山水八曲屛 | 종이에 수묵담채 | 129.6x32.3cmx8 | 양천 陽川,"2,000,000 - 4,500,000","2,100,000","100,000"
지성채 池盛彩,2023.10.26,춘산하경도 春山霞景圖 | 1976년(병진) | 종이에 수묵담채 | 70.5x135cm | 충주 忠州,"1,000,000 - 3,000,000","1,800,000","800,000"
채용신 蔡龍臣,2023.10.26,화조영모팔곡병 花鳥翎毛八曲屛 | 1906년(병오) | 종이에 수묵담채 | 125.5x29.5cmx8 | 평강 平康/대유 大有,"35,000,000 - 70,000,000",낙찰 X,N/A
이응노 李應魯,2023.10.26,묵매 墨梅 | 종이에 수묵 | 135x66cmx2 | 전의 全義,"2,000,000 - 4,000,000","3,200,000","1,200,000"
이응노 李應魯,2023.10.26,풍죽 風竹 | 1936년(병자) | 종이에 수묵 | 136x67cm | 전의 全義,"2,500,000 - 6,000,000","2,500,000",0
변관식 卞寬植,2023.10.26,산수 山水 | 종이에 수묵담채 | 102x31.5cm | 초계 草溪,"1,000,000 - 2,500,000","1,000,000",0
김용진 金容鎭,2023.10.26,묵매 墨梅 | 1958년 | 종이에 수묵 | 31x42cm | 안동 安東/성구 聖九,"400,000 - 1,000,000","600,000","200,000"
장운상 張雲祥,2023.10.26,미인 美人 | 1958년(무술) | 종이에 수묵담채 | 85x52cm,"1,000,000 - 2,300,000",낙찰 X,N/A
이응노 李應魯,2023.10.26,화조영모십곡병 花鳥翎毛十曲屛 | 종이에 수묵담채 | 127.5x32.1cmx10 | 전의 全義,"18,000,000 - 35,000,000","18,000,000",0
최우석 崔禹錫,2023.10.26,청풍고절 淸風高節 | 비단에 수묵담채 | 24.8x113cm,"300,000 - 800,000",낙찰 X,N/A
황성하 黃成河,2023.10.26,산수 山水 | 종이에 수묵담채 | 27x22.8cm | 부평 富平,"300,000 - 800,000","400,000","100,000"
김진우 金振宇,2023.10.26,묵죽 墨竹 대련 | 1931년(신미) | 종이에 수묵 | 139.5x39cmx2 | 강릉 江陵/군협 君協,"1,000,000 - 2,500,000","1,000,000",0
장우성 張遇聖,2023.10.26,송령학수 松齡鶴壽 | 종이에 수묵담채 | 32.5x41.5cm | 단양 丹陽,"700,000 - 1,500,000","700,000",0
작가미상,2023.10.26,산수 山水 | 비단에 수묵담채 |,"800,000 - 1,800,000",낙찰 X,N/A
심인섭 沈寅燮,2023.10.26,춘경 春景 | 비단에 수묵담채 | 124.7x35cm | 청송 靑松,"600,000 - 1,400,000",낙찰 X,N/A
허백련 許百鍊,2023.10.26,산수 山水 | 종이에 수묵담채 | 31.6x128cm | 양천 陽川,"2,500,000 - 5,000,000",낙찰 X,N/A
김응원 金應元,2023.10.26,묵란 墨蘭 : 세외천향 世外僊香 | 종이에 수묵 | 17.8x34cm | 김해 金海/석범 錫範,"500,000 - 1,300,000",낙찰 X,N/A
김정현 金正炫,2023.10.26,장강하일 長江夏日 | 1970년(경술) | 종이에 수묵담채 | | 김해 金海,"300,000 - 800,000",낙찰 X,N/A
산수팔곡병 山水八曲屛,2023.10.26,| 종이에 수묵 | 73.5x34.8cmx8,"4,000,000 - 8,000,000",낙찰 X,N/A
김기창 金基昶,2023.10.26,송응 松鷹 | 1980년(경신) | 종이에 수묵담채 | 44.5x52cm | 김해 金海,"2,500,000 - 5,000,000",낙찰 X,N/A
장일순 張一淳,2023.10.26,묵란 墨蘭 | 1984년(갑자) | 종이에 수묵 | 34x49cm | 인동 仁同,"400,000 - 800,000",낙찰 X,N/A
정진철 鄭鎭澈,2023.10.26,호접 胡蝶 | 1952년 | 비단에 수묵채색 | 36.7x56cm,"1,500,000 - 4,000,000","1,600,000","100,000"
지운영 池雲英,2023.10.26,송하괴석 松下怪石 | 종이에 수묵 | 132x33cm | 충주 忠州,"800,000 - 2,300,000","800,000",0
김윤보 金允輔,2023.10.26,산수팔곡병 山水八曲屛 | 비단에 수묵 | 93x28.5cmx8,"3,500,000 - 6,000,000",낙찰 X,N/A
문신 文信,2023.10.26,"무제 無題 | 1983년 | 종이에 마커, 펜 | 9x14cm | 남평 南平","800,000 - 1,800,000",낙찰 X,N/A
"탁희성 卓熙盛 화, 윤극영 尹克榮 제",2023.10.26,"거북선 龜船 | 1979년(기미) | 종이에 수묵담채, 먹 | 42.6x65.7cm","800,000 - 1,800,000",낙찰 X,N/A
"박승무 朴勝武 화, 정훈 丁薰 서",2023.10.26,"목련 木蓮 : 시화 | 종이에 수묵담채, 먹 | 32x58cm","400,000 - 1,000,000",낙찰 X,N/A
허백련 許百鍊,2023.10.26,서창청공 書牕淸供 | 1938년(무인) | 종이에 수묵담채 | 31.7x128.6cm | 양천 陽川,"600,000 - 1,300,000",낙찰 X,N/A
서세옥 徐世鈺,2023.10.26,조어 釣魚 | 종이에 수묵담채 | 27.7x40cm | 달성 達城,"800,000 - 1,800,000",낙찰 X,N/A
이응노 李應魯,2023.10.26,노송 老松 | 종이에 먹 | 66x33cm | 전의 全義,"2,000,000 - 4,000,000",낙찰 X,N/A
설종보 薛鐘寶,2023.10.26,무제 無題 | 2010년 | 캔버스에 아크릴 | 45x45cm,"500,000 - 1,500,000","500,000",0
박생광 朴生光,2023.10.26,금붕어 金鮒魚 | 1984년(갑자) | 종이에 수묵담채 | 34x44cm | 밀양 密陽,"800,000 - 2,000,000","800,000",0
이왈종 李曰鍾,2023.10.26,제주생활의 중도 : 서명 도록 | 2006년 | 종이에 먹 | 31x29cm,"700,000 - 1,500,000","700,000",0
안동숙 安東淑,2023.10.26,서록 瑞鹿 | 종이에 수묵담채 | 128x121cm,"500,000 - 1,300,000","500,000",0
풍속 風俗,2023.10.26,| 종이에 수묵채색 | 21x17cm,"800,000 - 1,800,000",낙찰 X,N/A
호랑이虎·멧돼지 목조각,2023.10.26,"| 나무에 조각, 채색 |","2,000,000 - 4,000,000","2,100,000","100,000"
청자음각봉황문유병 靑磁陰刻鳳凰文油餠,2023.10.26,| 13세기 | 5.3x2.8x4cm,"700,000 - 1,500,000",낙찰 X,N/A
백자청화수자문접시 白磁靑華壽字文楪匙,2023.10.26,| 19세기 | 5.5x21.8x12.4cm,"2,500,000 - 5,000,000",낙찰 X,N/A
백자잔·잔대 白磁盞·盞臺 9세트,2023.10.26,"| 19세기 | 잔 9.5x11x4.5cm, 잔대 8.5x13.4x8cm 외","2,500,000 - 5,000,000",낙찰 X,N/A
매화문벼루 梅花文硯,2023.10.26,| 돌에 조각 | 2.7x17.5x12.4cm,"500,000 - 1,500,000",낙찰 X,N/A
해시상회 海市商會,2023.10.26,백동白銅수저 세트 | 22x5cm 외,"500,000 - 1,500,000","1,200,000","700,000"
