날짜,제목,작가,생존여부,연도,재료,크기,추정가,낙찰가
2022-05-19,백자청화'안'명'수'문접시,null,null,null,19세기 高 6 口徑 21 底徑 11.5,N/A,"10,000,000","10,000,000"
2022-05-19,백자청화'갑'명'수'문팔각호,null,null,null,19세기 高 13 口徑 10 底徑 11,N/A,"5,500,000",N/A
2022-05-19,백자청화'병인'명칠보문호,null,null,null,1866 高 13 口徑 8.7 底徑 8.6,N/A,"3,000,000","4,100,000"
2022-05-19,백자청화'수'문접시 2점 일괄,null,null,null,1857 高 3.5 口徑 14 底徑 8.5 외,N/A,"2,500,000","2,600,000"
2022-05-19,백자제기,null,null,null,19세기 高 7.5 口徑 15.5 底徑 10,N/A,"3,000,000","3,000,000"
2022-05-19,백자청화'제'명제기,null,null,null,18세기 高 9.5 口徑 27 底徑 10.5,N/A,"8,000,000","8,000,000"
2022-05-19,백자청화초충문호,null,null,null,19세기 高 18 口徑 11.2 底徑 10.7,N/A,"4,000,000",N/A
2022-05-19,백자청화모란문호,null,null,null,19세기 高 32 口徑 12 底徑 12,N/A,"15,000,000",N/A
2022-05-19,백자청화화문육각형연적,null,null,null,19세기 高 3.2 口徑 6.4 底徑 6.4,N/A,"10,000,000","10,000,000"
2022-05-19,백자청화산수문선형연적,null,null,null,19세기 高 2.5 長 9.5,N/A,"2,000,000",N/A
2022-05-19,가죽인장함,null,null,null,"나무에 가죽, 금속장식","高 9, 8.5×8.5","1,000,000",N/A
2022-05-19,연상,null,null,null,나무에 금속장식,"高 15.3, 19×34","300,000","300,000"
2022-05-19,문서함,null,null,null,나무에 금속장식,"高 14.5, 12×47.5","600,000",N/A
2022-05-19,빗접,null,null,null,나무에 금속장식,"高 27.5, 30×29.5","2,500,000",N/A
2022-05-19,장생문삼형제필통,null,null,null,나무에 조각,高 13.5,"1,500,000","1,500,000"
2022-05-19,목안,null,null,null,나무에 조각,"高 28.5, 16×48","20,000,000",N/A
2022-05-19,동자상,null,null,null,"나무에 조각, 채색",高 27,"10,000,000","10,000,000"
2022-05-19,철제은입사육각화로,null,null,null,철에 금속장식,高 19.5 口徑 24,"20,000,000","20,000,000"
2022-05-19,쌍호문버선본집,null,null,null,비단에 자수,"집_9×9, 버선_長 26.8","7,000,000","7,000,000"
2022-05-19,은제장생문주자·잔 세트,null,null,null,은에 조각,注子_高 13 長 15 盞_高 7.3 口徑 3.5 底徑 4,"3,000,000","3,000,000"
2022-05-19,비녀·뒤꽂이 21점 일괄,null,null,null,혼합재료,長 29 외,"8,000,000",N/A
2022-05-19,나전화당초문함,null,null,null,나무에 나전장식,"高 23, 24×43","5,000,000","5,000,000"
2022-05-19,나전상,null,null,null,나무에 나전장식,"高 17.1, 32×55.5","2,000,000",N/A
2022-05-19,은제다구 9점 일괄,null,null,null,혼합재료,長 32 외,"5,000,000",N/A
2022-05-19,응호문부적판,null,null,null,나무에 조각,39.5×27.5,"3,000,000","5,000,000"
2022-05-19,찬탁,null,null,null,"高 147.5, 31×76",N/A,"1,000,000","1,100,000"
2022-02-17,장미,천경자,사망,1971,종이에 수묵담채,14×50.5㎝,"5,000,000","6,500,000"
2022-02-17,수박과 도라지꽃,천경자,사망,1971,종이에 수묵담채,14×50.5㎝,"5,000,000","5,600,000"
2022-02-17,선학도,고암 이응노,사망,null,종이에 수묵담채,32.7×32.3㎝,"1,500,000","2,100,000"
2022-02-17,금어도,심산 노수현,사망,null,종이에 수묵담채,24×26.5㎝,"800,000","1,200,000"
2022-02-17,부엉이,풍곡 성재휴,사망,null,종이에 수묵담채,33×64㎝,"1,000,000",N/A
2022-02-17,소와 노인,산정 서세옥,사망,null,종이에 수묵담채,42.5×52㎝,"1,500,000","1,500,000"
2022-02-17,수하유록도,유산 민경갑,사망,null,종이에 수묵담채,82×64㎝,"1,000,000","1,000,000"
2022-02-17,학과 소나무가 있는 산,유산 민경갑,사망,2000,종이에 채색,21.5×27.5㎝,"1,000,000","1,000,000"
2022-02-17,공작,내고 박생광,사망,1981,종이에 채색,34×34㎝,"5,000,000","7,000,000"
2022-02-17,호랑이,내고 박생광,사망,1981,종이에 채색,34×34㎝,"5,000,000","10,500,000"
2022-02-17,은하수,畵_내고 박생광/ 書_파성 설창수,사망,null,종이에 수묵담채,31×63㎝,"1,000,000",N/A
2022-02-17,달마도해도,이당 김은호,사망,1964,종이에 수묵담채,16×56.5㎝,"5,000,000","5,200,000"
2022-02-17,송하신선도,이당 김은호,사망,1964,종이에 수묵담채,128×37㎝,"1,000,000","1,000,000"
2022-02-17,'예禮'자문자도,null,null,null,종이에 수묵채색,83×29㎝,"3,000,000","3,000,000"
2022-02-17,책거리 2폭 일괄,null,null,null,종이에 수묵채색,각 75×38.5㎝,"3,000,000","3,000,000"
2022-02-17,책거리 8폭병풍,null,null,null,종이에 수묵채색,각 91×31㎝,"25,000,000","25,000,000"
2022-02-17,호접도 8폭·글씨 2폭 일괄,null,null,null,종이에 수묵채색,94×32.5㎝ 외,"12,000,000",N/A
2022-02-17,육순고수,심전 안중식,사망,1915,종이에 수묵,108.3×30.7㎝,"1,000,000","1,000,000"
2022-02-17,산수인물도,백련 지운영,사망,null,비단에 수묵담채,159×39.5㎝,"1,000,000","1,300,000"
2022-02-17,소상팔경 8폭병풍,작자미상,null,null,종이에 수묵담채,각 79×41㎝,"6,000,000",N/A
2022-02-17,곡부현궐리도,null,null,null,종이에 수묵담채,96×65.5㎝,"30,000,000",N/A
2022-02-17,묵포도도 4폭 일괄,휴휴당 이계호,사망,1648,종이에 수묵담채,각 55×44㎝,"8,000,000","8,000,000"
2022-02-17,묵란도,소치 허련,사망,null,종이에 수묵,51.9×27.5㎝,"1,000,000","1,200,000"
2022-02-17,해상야박도,소치 허련,사망,null,종이에 수묵,26×19㎝,"1,000,000",N/A
2022-02-17,모란도·산수도 2점 일괄,묵재 허욱,null,null,종이에 수묵담채,각 28×17.5㎝,"3,500,000",N/A
2022-02-17,노안도 2폭 일괄,전 퇴촌 김식,사망,null,종이에 수묵담채,각 26.5×22.5㎝,"5,000,000",N/A
2022-02-17,어해한선,옥산 장한종,사망,null,종이에 수묵담채,24.5×29㎝,"15,000,000","23,000,000"
2022-02-17,송하맹호도,전 양촌 마군후,null,null,종이에 수묵담채,76×45.5㎝,"20,000,000","20,000,000"
2022-02-17,산수도,작자미상,null,null,종이에 수묵담채,32.5×43.5㎝,"2,000,000","2,100,000"
2022-02-17,금강산 팔경첩,청극 박증로,null,null,종이에 수묵담채,38×38㎝,"1,000,000","2,000,000"
2022-02-17,묵포도도 6폭병풍,작자미상,null,null,종이에 수묵,각 125×56㎝,"20,000,000","20,000,000"
2022-02-17,농가풍요도,전 긍재 김득신,사망,null,종이에 수묵담채,92.5×43.5㎝,"50,000,000","50,000,000"
2022-02-17,설중호작도,null,null,null,종이에 수묵채색,103.5×75cm,"40,000,000","40,000,000"
2022-02-17,소상팔경 6폭병풍,작자미상,null,null,종이에 수묵담채,각 76×55㎝,"15,000,000",N/A
2022-02-17,농경도,작자미상,null,null,비단에 수묵채색,220×51㎝,"10,000,000","10,000,000"
2022-02-17,농경도 2폭 일괄,작자미상,null,null,비단에 수묵담채,각 93×50㎝,"20,000,000","20,000,000"
2022-02-17,책계관어도,긍재 김득신,사망,1813,종이에 수묵담채,38.3×60㎝,"150,000,000","220,000,000"
2022-02-17,임천초옥도,겸재 정선,사망,null,종이에 수묵,21.8 ×16.3,"25,000,000","27,000,000"
2022-02-17,월하맹호도,작자미상,null,null,종이에 수묵담채,106×54㎝,"50,000,000","70,000,000"
2022-02-17,고사인물화첩,죽계 안침,사망,null,비단에 수묵담채,27.8×20.7㎝,"50,000,000",N/A
2022-02-17,설곡시고,정포,사망,1376,종이에 먹,25×16.7㎝,"10,000,000","11,500,000"
2022-02-17,백납병,단원 김홍도,사망,null,비단에 수묵담채,29.8×23㎝ 외 48폭,,"1,000,000,000"
2022-02-17,숙종대왕내사시첩 · 공천묘지,숙종/ 오수엽,사망,null,종이에 먹,43.7×26㎝ 외,"10,000,000","12,000,000"
2022-02-17,녹천 이유 초상화 외,null,null,null,비단에 수묵채색,"畵_ 68.5×41.7㎝簇子函_ 高 13, 13×70","100,000,000","100,000,000"
2022-02-17,송하필첩,송하옹 조윤형,사망,1792,畵_ 종이에 수묵담채書_ 비단에 먹,30.5×18.5㎝ 외,"45,000,000","45,000,000"
2022-02-17,정조 어제어필 홍용한 회갑 축수시 · 축시 모음집,정조,사망,1794,종이에 먹,御筆_ 108.5×211.5㎝ 祝壽詩_ 25.8×18.9㎝,,"370,000,000"
2022-02-17,해응,작자미상,null,null,종이에 수묵담채,136×72㎝,"50,000,000","73,000,000"
2022-02-17,약리도,작자미상,null,null,종이에 수묵채색,105.8×35.5㎝,"5,000,000","5,000,000"
2022-02-17,연죽맹호도,옥천,null,null,비단에 수묵담채,116×41㎝,"3,000,000","3,000,000"
2022-02-17,'자녀효부'문자도 8폭병풍,작자미상,null,null,종이에 수묵채색,각 63.2×36.5㎝,"10,000,000","10,500,000"
2022-02-17,'동풍북기'문자도,작자미상,null,null,종이에 먹,30.3×80㎝,"4,000,000","4,000,000"
2022-02-17,춘파이락,소정 변관식,사망,1964,종이에 수묵담채,32×127.5㎝,"7,000,000","7,000,000"
2022-02-17,신선도,이당 김은호,사망,1953,종이에 수묵담채,28.3×49.5㎝,"3,000,000","3,000,000"
2022-02-17,설경산수도,현초 이유태,사망,null,종이에 수묵담채,67×66.5㎝,"1,000,000","1,100,000"
2022-02-17,화조도 10폭병풍,탄월 김경원,사망,null,비단에 수묵담채,각 123×34㎝,"8,000,000","8,300,000"
2022-02-17,미인도,작자미상,null,null,종이에 수묵담채,68.7×34.5㎝,"3,000,000","3,000,000"
2022-02-17,수월관음도,null,null,null,비단에 수묵채색,98×54.5㎝,"3,500,000",N/A
2022-02-17,초상화,석지 채용신,사망,1916,비단에 수묵채색,109.6×57.3㎝,"80,000,000","98,000,000"
2022-02-17,풍속도 대련,작자미상,null,null,종이에 수묵담채,각 130.5×27㎝,"5,000,000",N/A
2022-02-17,-,null,null,null,,N/A,,N/A
2022-02-17,팔상도 中 비람강생,null,null,null,비단에 수묵채색,117.5×65㎝,"10,000,000","10,000,000"
2022-02-17,삼국지 6폭병풍,작자미상,null,null,종이에 수묵채색,각 57.7×29.5㎝,"18,000,000",N/A
2022-02-17,간찰,기은 박문수,사망,1737,종이에 먹,27×36㎝,"1,500,000","3,200,000"
2022-02-17,쌍구가목 8폭병풍,자하 신위,사망,null,종이에 먹,각 55×20.5㎝,"2,500,000","2,500,000"
2022-02-17,시고,학산 윤제홍,사망,1805,종이에 먹,28×190㎝,"15,000,000",N/A
2022-02-17,석주 이상룡 간찰,석주 이상룡,사망,1901.03.17.,종이에 먹,19.2×36.5㎝,"4,000,000","4,000,000"
2022-02-17,석금실,추사 김정희,사망,null,"나무에 조각, 채색",28×58㎝,"2,000,000","2,100,000"
2022-02-17,전서 대련,위창 오세창,사망,1928,종이에 먹,각 120×32.5㎝,"2,000,000","2,000,000"
2022-02-17,대련,동곡 조인승,사망,null,종이에 먹,각 110×29㎝,"800,000",N/A
2022-02-17,혈죽도,書_성재 이시영/ 畵_만취화인 홍순승,사망,1906-1910,비단에 수묵,113.5×34㎝,"4,000,000","7,500,000"
2022-02-17,"순종 국장기념 사진첩,순종비 순정효황후 사진",null,null,1926. 06. 30.,종이에 인쇄,"寫眞帖_ 21×30㎝,寫眞_ 13.5×9.5㎝","1,000,000","1,300,000"
2022-02-17,서화보,null,null,null,종이에 먹,31×20.5㎝,"1,000,000",N/A
2022-02-17,노안도,석연 양기훈,사망,null,비단에 수묵,134.5×34.5㎝,"600,000","700,000"
2022-02-17,괴석묵란도,소호 김응원,사망,null,비단에 수묵,144×41㎝,"800,000","800,000"
2022-02-17,묵죽도,해강 김규진,사망,null,비단에 수묵,122×40㎝,"1,200,000","1,200,000"
2022-02-17,기명절지도,관재 이도영,사망,null,비단에 수묵담채,121.5×35.5㎝,"1,500,000","1,600,000"
2022-02-17,묵란도,의재 허백련,사망,null,종이에 수묵,62.6×62㎝,"1,500,000","1,500,000"
2022-02-17,수조도,월전 장우성,사망,null,종이에 수묵담채,127.5×34.2㎝,"1,000,000","1,500,000"
2022-02-17,춘경산수도,소정 변관식,사망,1973,종이에 수묵담채,32×127.8㎝,"7,000,000","7,000,000"
2022-02-17,탈춤,운보 김기창,사망,null,종이에 수묵담채,29.5×46㎝,"4,000,000","4,000,000"
2022-02-17,풍속화,이서지,사망,null,종이에 수묵담채,39.5×128.7㎝,"1,000,000","1,000,000"
2022-02-17,청자상감화당초문합,null,null,null,高 2.7口徑 3.5底徑 2.5,N/A,"1,500,000","1,500,000"
2022-02-17,청자음각국화문합,null,null,null,高 2.7口徑 3底徑 2.8,N/A,"2,500,000","3,100,000"
2022-02-17,청자양각연화문접시,null,null,null,高 4口徑 17底徑 5.8,N/A,"3,000,000","10,500,000"
2022-02-17,청자음각앵무문발,null,null,null,高 7.8口徑 17.6底徑 5.8,N/A,"4,000,000","7,300,000"
2022-02-17,청자음각연화당초문유병,null,null,null,高 7.5口徑 3.2底徑 5,N/A,"10,000,000","10,500,000"
2022-02-17,청자상감능화창문편호,null,null,null,高 31.5口徑 8.5底徑 9,N/A,"20,000,000","23,000,000"
2022-02-17,청자음각연화문참외형병,null,null,null,高 21口徑 9底徑 8.5,N/A,"2,500,000","2,500,000"
2022-02-17,청자음각연화문정병,null,null,null,高 32.5口徑 2底徑 9,N/A,"10,000,000","10,000,000"
2022-02-17,청자상감여뀌문주자,null,null,null,高 16口徑 3底徑 11,N/A,"25,000,000","25,000,000"
2022-02-17,청자상감연화문편병,null,null,null,高 33.5口徑 8底徑 12,N/A,"9,000,000",N/A
2022-02-17,청자상감유로수금문병,null,null,null,高 31口徑 8.5底徑 9.5,N/A,"5,000,000","6,800,000"
2022-02-17,청자상감버들문매병,null,null,null,高 32口徑 5底徑 11.5,N/A,"2,500,000","3,500,000"
2022-02-17,백자호,null,null,null,高 39.5口徑 14底徑 14.7,N/A,"15,000,000","17,500,000"
2022-02-17,청자상감연화류문매병,null,null,null,高 29.5口徑 4.5底徑 11,N/A,"3,500,000","3,500,000"
2022-02-17,분청사기인화국화문귀때발,null,null,null,高 8.5口徑 17.7底徑 6.7,N/A,"3,000,000",N/A
2022-02-17,분청사기조화박지연화조문편병,null,null,null,高 19.5口徑 4.7底徑 9.6,N/A,"60,000,000","80,000,000"
2022-02-17,백자병 · 백자유개호 일괄,null,null,null,甁_ 高 17.8 口徑 4.5 底徑 6.5壺_ 高 15.5 口徑 6 底徑 6.5,N/A,"4,000,000","4,000,000"
2022-02-17,백자점각'계사대듕소'명접시,null,null,null,高 3.5口徑 15.3底徑 8.2,N/A,"2,500,000","2,500,000"
2022-02-17,백자청화'제'명제기,null,null,null,高 6口徑 18.5底徑 9.4,N/A,"2,500,000","2,600,000"
2022-02-17,백자청화수복문호,null,null,null,高 6.3口徑 4.8底徑 4.5,N/A,"3,500,000",N/A
2022-02-17,백자청화수복문약잔,null,null,null,高 6口徑 10.3底徑 5.5,N/A,"2,500,000","2,500,000"
2022-02-17,백자청화불수감편복문발,null,null,null,高 9.5口徑 9.5底徑 7,N/A,"3,500,000","3,500,000"
2022-02-17,백자청화도화편복문호,null,null,null,高 11.5口徑 7底徑 7,N/A,"2,500,000","2,500,000"
2022-02-17,백자청화불수감편복문발,null,null,null,高 9口徑 15底徑 7.5,N/A,"3,500,000","3,500,000"
2022-02-17,백자청화산수율문호,null,null,null,高 29.5口徑 13底徑 13,N/A,"20,000,000",N/A
2022-02-17,백자청화운봉문호,null,null,null,高 42口徑 14.5底徑 17,N/A,"60,000,000",N/A
2022-02-17,백자투각격자문육각필통,null,null,null,高 9.5口徑 11.5底徑 11.5,N/A,"100,000,000","120,000,000"
2022-02-17,백자청화국화편복문병,null,null,null,高 24口徑 3.3底徑 10.2,N/A,"15,000,000","17,000,000"
2022-02-17,백자청화'수'명모란문발 2점 일괄,null,null,null,高 8口徑 19底徑 8 외,N/A,"18,000,000",N/A
2022-02-17,백자청화모란편복문병,null,null,null,高 21.7口徑 3底徑 9,N/A,"12,000,000","16,000,000"
2022-02-17,백자철화초화문호,null,null,null,高 5.2口徑 2.5底徑 3,N/A,"3,000,000","3,200,000"
2022-02-17,백자청화화문육각화장기,null,null,null,高 3口徑 2.5底徑 3,N/A,"1,500,000","1,500,000"
2022-02-17,백자청화화문화장기,null,null,null,高 2口徑 2底徑 2.2,N/A,"2,500,000","2,000,000"
2022-02-17,백자청화난초국화문병,null,null,null,高 15.5口徑 2.4底徑 7.5,N/A,"3,000,000",N/A
2022-02-17,백자청화모란문병,null,null,null,高 22口 3.7底 10.2,N/A,"5,000,000",N/A
2022-02-17,백자철화산형연적,null,null,null,"高 7.3, 8.5×4.8",N/A,"4,000,000",N/A
2022-02-17,백자철화거북형먹줄통,null,null,null,"高 6.3, 14.5×6.6",N/A,"3,000,000",N/A
2022-02-17,나전대모모란문함,null,null,null,나무에 나전·대모장식,"高 16.5, 27×41.5","10,000,000",N/A
2022-02-17,나전화당초문함,null,null,null,나무에 나전장식,"高 18, 27×43","20,000,000",N/A
2022-02-17,나전대모용봉문의복함,null,null,null,나무에 나전·대모장식,"高 27, 38×67","10,000,000",N/A
2022-02-17,나전장생문연상,null,null,null,나무에 나전장식,"高 25, 27×38","10,000,000","10,000,000"
2022-02-17,신선로,null,null,null,청동에 조각,高 13口徑 4.2底徑 9.5,"1,000,000","1,000,000"
2022-02-17,은제먹상 2점 일괄,null,null,null,은에 조각,"高 5, 8×14 외","1,000,000","1,200,000"
2022-02-17,은제주자 · 잔세트,null,null,null,"은에 조각, 상아",注子_ 高 10 長 17.5盞_ 高 3.8 口徑 5.3 底徑 2.2,"2,500,000","2,600,000"
2022-02-17,은제주자 · 잔세트,null,null,null,"은에 조각, 상아",注子_ 高 11 長 17.5盞_ 高 3.3 口徑 5.4 底徑 2,"2,500,000","2,500,000"
2022-02-17,은제주자 · 잔세트,null,null,null,"은에 조각, 상아, 비취",注子_ 高 7.5 長 16盞_ 高 7.8 口徑 3.7 底徑 3.5,"2,500,000","2,500,000"
2022-02-17,은제박쥐문약통,null,null,null,"은에 조각, 비취",高 5.5口徑 4.5底徑 5,"1,500,000","1,500,000"
2022-02-17,은제칠보주자 · 잔세트,null,null,null,은에 칠보장식,"注子_ 高 12.5 長 16,盞_ 高 3 口徑 5 底徑 2","3,500,000","3,500,000"
2022-02-17,은제칠보원앙 한쌍 · 받침 일괄,null,null,null,은에 칠보장식,高 7.5,"2,500,000",N/A
2022-02-17,은제주자 · 잔세트,null,null,null,은에 조각,"注子_ 高 24 長 16.5,盞_ 高 9 口徑 7.8 底徑 4.7","2,500,000",N/A
2022-02-17,은제차통,null,null,null,"은에 조각, 산호","高 16, 口徑 10, 底徑 12.5","2,000,000","2,000,000"
2022-02-17,은제휴대용붓통,null,null,null,황동에 조각,長 14,"1,500,000","1,500,000"
2022-02-17,주칠합 · 소반 일괄,null,null,null,나무에 조각,"盒_ 高 12 口徑 14 底徑 15, 盤_ 高 7.5 經 29.3","1,500,000",N/A
2022-02-17,나전육각필통,null,null,null,나무에 나전장식,"高 13.7, 口徑 12.7, 底徑 13.9","3,000,000","3,000,000"
2022-02-17,나전사각반 2점 일괄,null,null,null,나무에 나전장식,"高 5.5, 31.5×31.5 외","1,500,000","1,500,000"
2022-02-17,나전 베갯모 한쌍· 나전합 2점 일괄,null,null,null,나무에 나전장식,"枕頭頂_ 각 14×13.7,盒_ 高 5.3, 15.5×10.3 외","1,000,000",N/A
2022-02-17,빗접,null,null,null,나무에 금속장식,"高 26, 19.5×32","600,000","650,000"
2022-02-17,촛대 2점 일괄,null,null,null,무쇠에 조각,"左_ 高 65, 右_ 高 72","2,000,000",N/A
2022-02-17,패옥,null,null,null,옥,長 40,"2,000,000",N/A
2022-02-17,자수공예 일괄,null,null,null,비단에 자수,長 88 외,"1,500,000","1,500,000"
2021-11-25,달과 닭,고암 이응노,사망,null,종이에 수묵담채,21.8×27.5㎝,"1,500,000","2,100,000"
2021-11-25,노안도,고암 이응노,사망,null,종이에 수묵담채,16×44㎝,"1,500,000","1,600,000"
2021-11-25,화접도,석하 정진철,사망,null,비단에 수묵담채,36.7×47.3㎝,"1,500,000","1,700,000"
2021-11-25,참새와 벼,탄월 김경원,사망,1959,종이에 수묵담채,16.5×47.3㎝,"800,000","3,000,000"
2021-11-25,문자추상,고암 이응노,사망,null,종이에 수묵담채,64×16.5㎝,"2,500,000","2,600,000"
2021-11-25,주유도,산정 서세옥,사망,null,종이에 수묵담채,40×55㎝,"1,500,000","1,700,000"
2021-11-25,영창청공,유산 민경갑,사망,1967,종이에 수묵담채,66×43㎝,"1,000,000",N/A
2021-11-25,연날리기,우현 송영방,사망,null,종이에 수묵담채,45×52.5㎝,"500,000","1,600,000"
2021-11-25,소와 목동,우현 송영방,사망,null,종이에 수묵담채,45×52.5㎝,"500,000","1,800,000"
2021-11-25,죽림칠현,이당 김은호,사망,null,비단에 수묵담채,43×138㎝,"5,000,000","5,200,000"
2021-11-25,시집가는 날 6폭병풍,이서지,사망,null,종이에 수묵담채,56×224㎝,"2,000,000","4,400,000"
2021-11-25,전가활계,작자미상,null,null,종이에 수묵담채,95×53.5㎝,"5,000,000","7,300,000"
2021-11-25,귀거래사 2폭 일괄,김경두,null,null,종이에 수묵담채,각 91.5×52㎝,"5,000,000","5,000,000"
2021-11-25,경직도 대련,작자미상,null,null,비단에 수묵담채,각 127.5×50㎝,"20,000,000",N/A
2021-11-25,누각산수도,소치 허련,사망,null,종이에 수묵담채,16.5×41㎝,"2,500,000","2,500,000"
2021-11-25,괴석묵란도,애춘 신명연,사망,null,종이에 수묵,20.5×55.5㎝,"2,000,000","2,000,000"
2021-11-25,묵란도,수월헌 임희지,사망,null,종이에 수묵,38.5×32.5㎝,"5,000,000","5,000,000"
2021-11-25,석죽도,행농 유기환,null,null,종이에 수묵,45×27.3㎝,"2,000,000","2,100,000"
2021-11-25,괴석묵란도 10폭병풍,석파 이하응,사망,null,비단에 수묵채색,각 127.5×33㎝,"80,000,000","80,000,000"
2021-11-25,초상화,석지 채용신,사망,1933,비단에 채색,105.5×62.5㎝,"20,000,000","22,000,000"
2021-11-25,책거리,작자미상,null,null,종이에 채색,49.5×28.7㎝,"1,500,000","2,000,000"
2021-11-25,요지연도,작자미상,null,null,비단에 수묵채색,137.5×44.5㎝,"1,000,000","2,300,000"
2021-11-25,화조도 4폭 일괄,작자미상,null,null,종이에 수묵채색,각 55×31㎝,"10,000,000","11,500,000"
2021-11-25,책거리 6폭병풍,작자미상,null,null,종이에 채색,각 67×34.5㎝,"15,000,000","18,500,000"
2021-11-25,장생도 8폭병풍,작자미상,null,null,종이에 수묵담채,각 87.7×29.5㎝,"5,000,000","5,000,000"
2021-11-25,화조도 8폭병풍,작자미상,null,null,종이에 수묵담채,각 84×38.8㎝,"20,000,000",N/A
2021-11-25,수하산양도,작자미상,null,null,종이에 수묵담채,106×62.5㎝,"6,000,000",N/A
2021-11-25,요지연도 8폭병풍,null,null,null,비단에 수묵채색,103×247.5㎝,"250,000,000","260,000,000"
2021-11-25,호취간토도,영은군 이함,사망,null,비단에 수묵,142×57.5㎝,"30,000,000","37,000,000"
2021-11-25,호응도,현재 심사정,사망,null,비단에 수묵,26.5×16㎝,"12,000,000",N/A
2021-11-25,여동빈도,기야 이방운,사망,null,종이에 수묵담채,N/A,"30,000,000","30,000,000"
2021-11-25,수하인물도,공재 윤두서,사망,null,비단에 수묵담채,16.8×12.7㎝,"10,000,000","10,000,000"
2021-11-25,와유첩,단포 신사열,null,null,종이에 수묵담채,31×17㎝,"80,000,000","280,000,000"
2021-11-25,산수인물도,겸재 정선,사망,null,비단에 수묵담채,105×42㎝,"120,000,000",N/A
2021-11-25,묵죽도,수운 유덕장,사망,null,종이에 수묵,114×59.3㎝,"20,000,000","23,000,000"
2021-11-25,묵죽도,탄은 이정,사망,null,종이에 수묵,20.5×15㎝,"2,500,000","2,500,000"
2021-11-25,묵매도 8폭병풍,소치 허련,사망,1877,종이에 수묵,각 95.5×35㎝,"9,000,000","10,500,000"
2021-11-25,산수도 8폭병풍,소치 허련,사망,null,종이에 수묵담채,각 57.5×32.3㎝,"20,000,000","20,000,000"
2021-11-25,금강산도 10폭병풍,운전 조광준,사망,null,모시에 수묵담채,각 130×34.5㎝,"8,000,000","13,500,000"
2021-11-25,등용문,이당 김은호,사망,1972,종이에 수묵담채,33.2×43.9㎝,"1,500,000","5,000,000"
2021-11-25,추경산수도,소정 변관식,사망,null,종이에 수묵담채,34×61.5㎝,"3,500,000","4,200,000"
2021-11-25,구양자방야독서도,백련 지운영,사망,null,비단에 수묵담채,131.5×66.8㎝,"3,000,000","3,100,000"
2021-11-25,풍속화,작자미상,null,null,비단에 수묵담채,각 18×9㎝,"2,000,000","4,000,000"
2021-11-25,경작도,의재 허백련,사망,1961,종이에 수묵담채,129×64㎝,"20,000,000","41,000,000"
2021-11-25,금강산도,제당 배렴,사망,1930,종이에 수묵담채,117.2×147.6㎝,"8,000,000","9,300,000"
2021-11-25,추산심취도,소정 변관식,사망,null,종이에 수묵담채,31.5×126.5㎝,"8,000,000","8,800,000"
2021-11-25,묵죽도,일주 김진우,사망,null,비단에 수묵,142×40.5㎝,"700,000",N/A
2021-11-25,산수도 대련,하산 유치봉,사망,null,종이에 수묵,각 118.3×27.5㎝,"2,000,000","2,100,000"
2021-11-25,자수빈풍칠월도 8폭병풍,작자미상,null,null,비단에 자수,각 113.5×33㎝,"30,000,000",N/A
2021-11-25,단학흉배 한쌍,작자미상,null,null,비단에 자수,각 18×16㎝,"1,000,000",N/A
2021-11-25,금은사 자수 용봉도,작자미상,null,null,비단에 자수,61×22.5㎝,"1,800,000",N/A
2021-11-25,경상도지도,작자미상,null,null,종이에 수묵담채,45.5×31.5㎝,"1,000,000","1,300,000"
2021-11-25,경혈도 한쌍,작자미상,null,null,종이에 먹,각 90.3×48.8㎝,"2,000,000","2,000,000"
2021-08-26,분죽도,작자미상,null,null,종이에 수묵담채,14.5×9.8㎝,"1,000,000","1,000,000"
2021-08-26,화조도,작자미상,null,null,종이에 수묵채색,71×42.7㎝,"1,000,000","1,000,000"
2021-08-26,화훼초충도 2점 일괄,작자미상,null,null,종이에 수묵채색,左_ 62.5×34.5㎝ 　右_ 62.5×29.8㎝,"4,000,000","4,000,000"
2021-08-26,농가풍경,소정 변관식,사망,null,종이에 수묵담채,48×38㎝,"3,000,000","24,000,000"
2021-08-26,괴석묵죽도,애춘 신명연,사망,null,종이에 수묵,18×51.5㎝,"3,500,000","4,200,000"
2021-08-26,풍죽도,수운 유덕장,사망,null,비단에 먹,29.6×23.5㎝,"3,000,000","4,100,000"
2021-08-26,산수인물도,호생관 최북,사망,null,종이에 수묵담채,26×17.5㎝,"7,000,000","10,500,000"
2021-08-26,방 동파 고목죽석,해강 김규진,사망,null,종이에 수묵,139×40.6㎝,"1,500,000",N/A
2021-08-26,묵죽도,해강 김규진,사망,null,종이에 수묵,132×32.2㎝,"800,000","800,000"
2021-08-26,홍매도,구룡산인 김용진,사망,null,종이에 수묵담채,111×49.8㎝,"2,000,000",N/A
2021-08-26,묵란도 2점 일괄,석촌 윤용구,사망,null,종이에 수묵,각 162×46㎝,"1,500,000",N/A
2021-08-26,괴석묵란도,"畵_ 석파 이하응, 題_ 심전 안중식",사망,null,비단에 수묵,96.5×31.8㎝,"4,000,000",N/A
2021-08-26,괴석묵란도,소호 김응원,사망,null,종이에 수묵,132.8×15.8㎝,"800,000","1,100,000"
2021-08-26,청허기심,일주 김진우,사망,1949,종이에 수묵,34×130.7㎝,"800,000",N/A
