name,size,estimate,final_price
백자진사채 표...,38×5×11㎝,"500,000","900,000"
분청철화 목단...,21×5.7×12.5㎝,"400,000","500,000"
백자 호 ('...,48.5×17×17㎝,"1,500,000",
이층 시문책장,138.5×42×83.5㎝,"4,500,000","4,500,000"
먹감 이층농,125.5×37×79㎝,"1,000,000",
먹감 이층장,142×46.5×114㎝,"1,000,000","1,000,000"
머릿장,60.5×33×68.5㎝,"500,000","500,000"
필갑 2점,"①6.5×12×31.5㎝, ②4.5×6.5×23㎝","300,000","300,000"
나전칠기 '수...,7×36.5×36.5㎝,"700,000","900,000"
나전칠기 강상...,3×51.5×51.5㎝,"800,000","1,000,000"
나전칠기 기명...,8.5×24.5×36.5㎝,"400,000","600,000"
나전칠기 일월...,61×112㎝,"500,000","500,000"
나전칠기 군마...,81×160㎝,"600,000","600,000"
현판('안락당...,36×97㎝,"400,000","500,000"
현판('노정서...,32.5×104㎝,"800,000","1,000,000"
현판('황화주...,34×169㎝,"5,000,000","5,000,000"
금동 여래좌상...,21×10.5×12.5㎝,"2,000,000","2,200,000"
동경,19.5×19.5㎝,"300,000","300,000"
"청동 병, 청...","병-31×9×8.5㎝, 합①-12.5×14.8×10.5㎝, 합②-14.5×14.3×10.3㎝, 발①-9×12.8×7.8㎝, 발②-8.5×14.3×7.3㎝","400,000","400,000"
무쇠 창 2점,"①45㎝, ②42.5㎝","300,000","350,000"
유기 제기(보...,"①14.5×16×9㎝, ②·③14×16×21.5㎝","600,000","1,500,000"
석조 가신(두...,14×21×33㎝,"300,000","400,000"
곱돌 약연,11.5×27×24㎝,"1,000,000","1,000,000"
삼층 석탑,240×110×110㎝,"50,000,000","70,000,000"
경주김씨보소지...,"경주김씨-3.3×7×9.3㎝, 진양정씨-6×4.2×4.2㎝","600,000","600,000"
다식판 3점,"①45㎝, ②38㎝, ③34㎝","500,000","500,000"
약과판 7점,총 7점 일괄,"300,000","500,000"
죽제 장생문삼...,17.3×15×18㎝,"3,000,000","3,000,000"
투호,34×8×17.5㎝,"400,000","400,000"
운혜,3.5×23×7.8㎝,"300,000","300,000"
어피 말안장,24.5×28×44㎝,"300,000","300,000"
Antique...,61×19×45㎝,"800,000","1,000,000"
영릉어필,34.5×21.5㎝,"300,000","900,000"
학봉선생속집 ...,32×21㎝(3EA),"300,000","500,000"
송설당필첩,38×27㎝,"300,000","650,000"
심경 상·하 ...,"상·하-31.5×20.5㎝(2EA), 건·곤-33.5×22㎝(2EA)","300,000","400,000"
우춘기필,35.5×23㎝,"300,000","350,000"
용암집 건·곤...,31×19.5㎝(2EA),"200,000","200,000"
춘추 8책 완...,33×21.5㎝(8EA),"500,000","700,000"
예기 12책 ...,32×21㎝(12EA),"500,000","600,000"
퇴계선생문집 ...,"퇴계선생문집-31.5×22㎝, 퇴계선생집-30.5×20㎝","500,000","1,400,000"
서책 11종 ...,"①31×20.2㎝(2EA), ②31×22㎝(4EA), ③31.5×24㎝, ④27.5×32㎝, ⑤28.5×17.5㎝(2EA), ⑥31×24.5㎝(2EA), ⑦24.5×20㎝, ⑧30.5×21㎝(2EA), ⑨32.7×22㎝, ⑩28.8×18.3㎝, ⑪29.3×20.5㎝(2EA)","400,000","500,000"
편주의학입문내...,30.5×20.8㎝(19EA),"1,500,000",
선조 어필 탁...,44.5×33㎝,"800,000","900,000"
필보,33.5×30.5㎝,"700,000","900,000"
여지통람,34×21.2㎝,"3,000,000","3,000,000"
채국동이,50×69㎝,"1,200,000","1,200,000"
왕상빙리,23.5×24㎝,"700,000",
표훈사,49×77㎝,"3,000,000","3,500,000"
쌍압도,65.5×35㎝,"300,000","300,000"
송공학성,32×46㎝,"300,000","300,000"
총화만사성,61×120㎝,"800,000","1,200,000"
충의지삼,63×118.5㎝,"500,000","500,000"
강산청락,133.5×33㎝,"2,500,000","2,500,000"
계정추사,115×35㎝,"1,500,000","1,600,000"
대나무,131.5×32㎝,"300,000","300,000"
암상지응,77×50㎝,"1,000,000",
희롱원마,59.5×24㎝,"400,000",
봉황도,22.5×84㎝,"200,000","200,000"
금강산도 10...,87.5×32.5㎝,"1,500,000","1,600,000"
자수 화조도 ...,106.5×33㎝,"500,000","600,000"
백납도 8폭·...,"그림-104.5×32.5㎝, 글-97.5×26.5㎝","1,200,000","1,200,000"
휘호('춘풍대...,118×27.5㎝,"2,000,000",
휘호('근색유...,33×123.5㎝,"400,000","600,000"
휘호('정의인...,31.5×112㎝,"400,000","450,000"
휘호('유무원...,30×124㎝,"400,000","400,000"
휘호('만고광...,29.5×104㎝,"400,000","450,000"
휘호('지어지...,32×124.5㎝,"200,000","200,000"
휘호('유선위...,32×124㎝,"200,000","200,000"
염소,32×23㎝,"400,000","600,000"
포도대장 염보...,65×35㎝,"300,000","300,000"
한국의 얼굴 ...,71.5×71.5㎝,"500,000",
영부인 육영수...,74×87㎝,"1,000,000",
남국의 여인들,24.5×35㎝,"1,000,000","1,200,000"
여심,24×33.7㎝,"200,000","200,000"
파리 야경,53×45.5㎝,"600,000","700,000"
ORCHEST...,54.5×67㎝,"500,000","600,000"
새와 사람들,21.5×34㎝,"4,000,000",
여행의 추억,131×161㎝,"1,200,000","1,700,000"
Just a ...,50.5×50.5㎝,"4,000,000","4,300,000"
여인의 시,35.5×35㎝,"1,200,000",
Plunge ...,69×69㎝,"2,500,000",
좋은 하루!,73.5×20×90㎝,"8,000,000",
달의 얼굴,45.5×23㎝,"1,000,000","1,200,000"
토기 잔 5점,"①5.5×5×6㎝, ②14×6.5×10㎝, ③17.5×9.5×11.5㎝, ④11×6×6㎝, ⑤11×6×6.5㎝","1,000,000",
토기 승석문토...,11.5×13×14.5㎝,"2,000,000","2,000,000"
토기 양이호,60×31㎝,"1,500,000","1,500,000"
청자음각 초엽...,25×11×9.5㎝,"3,000,000",
청자철화 조죽...,12.5×3.5×4.5㎝,"3,000,000","3,000,000"
청자상감 영모...,7×21×7.5㎝,"4,500,000","6,000,000"
청자철화 초엽...,8.5×1.5×6.5㎝,"500,000","800,000"
분청 '내섬'...,7×18×7㎝,"1,500,000",
청자 소병,9.5×3×3.5㎝,"500,000","500,000"
청자음각 기하...,3×7.5×4.5㎝,"2,200,000",
청자상감 앵무...,3.5×7.5×4㎝,"2,200,000",
분청조화 어문...,24.5×12.5×12㎝,"12,000,000","14,000,000"
백자 '천'명...,11.5×21.5×9.5㎝,"45,000,000",
백자양각 송학...,13.5×9×9.5㎝,"5,000,000","5,000,000"
백자철화투각 ...,14×11.3×9.3㎝,"5,000,000","5,000,000"
백자 양이호,36.5×17×14㎝,"1,000,000","1,000,000"
백자 약호,9×5.5×5.4㎝,"500,000","500,000"
백자 모사기,8×11×7.5㎝,"600,000","700,000"
백자청화 귀갑...,16.5×13×19㎝,"2,000,000","2,000,000"
백자청화 '진...,3.7×15.3×8.7㎝,"700,000","700,000"
백자청화채 와...,3×5×5㎝,"3,000,000","3,000,000"
백자진사 석류...,8×2×6㎝,"3,000,000","3,600,000"
경상도 책장,83×42.5×101.5㎝,"2,000,000","2,000,000"
교자상,35×65×99.5㎝,"1,200,000","1,200,000"
내사용 삼층장,169.5×56.5×115㎝,"4,000,000","4,300,000"
석조 고승상,55×16×25㎝,"3,000,000","3,000,000"
유리 표형사리...,"금동①-1.6㎝, 금동②-2.7㎝, 금동③-2㎝, 유리-8.5㎝","30,000,000",
황동 봉황문인...,9.5×10.5×10.5㎝,"4,000,000","4,000,000"
무쇠 십이지해...,38.5×38.5㎝,"2,000,000","2,200,000"
은제 침통 4...,"①11㎝, ②·③10.5㎝, ④10㎝","1,300,000",
은장도 3점,"①16㎝, ②15㎝, ③13.5㎝","1,500,000","1,600,000"
백동음각 칠보...,7.5×8.3×8.3㎝,"700,000","700,000"
곤룡포,129×205㎝,"1,000,000","1,000,000"
오학문 모담 ...,"①173×135㎝, ②211×160㎝","9,000,000","9,000,000"
곱돌 거북받침...,39×14×14.5㎝,"1,000,000","1,100,000"
석조 '희'명...,6×6.5×6.5㎝,"1,500,000","1,600,000"
매죽선인문 일...,27×15.5㎝,"10,000,000",
현판('무애정...,37.5×165㎝,"800,000","800,000"
먹감 함,38.5×32×33㎝,"1,000,000","1,000,000"
죽제 고사인물...,18.5×16×15㎝,"2,500,000",
목제 삼형제약...,14×31×26㎝,"1,500,000","1,600,000"
목제 호패 1...,총 10점 일괄,"1,200,000","1,200,000"
생황,45㎝,"500,000","900,000"
목제 자 22...,총 22점 일괄,"500,000",
비취 보살상*,6.5×9.5×16㎝,"8,000,000",
비취 배추 장...,10.5×16×30㎝,"5,000,000",
양주 3점,"루이13세-21cm, 발렌타인-26.8cm, 마오타이-18.8cm","3,000,000","3,000,000"
난중일기(박정...,25×18㎝,"800,000","900,000"
시집 백록담 ...,19×13㎝,"9,000,000","10,000,000"
서울 도시개발...,일괄,"400,000,000",
열성어필첩,46×30㎝,"1,500,000","1,500,000"
시고첩(귀거래...,28×17.7㎝,"100,000,000",
해오도,53×68㎝,"1,000,000",
나한도 2점,36.5×40.5㎝(2EA),"800,000","1,300,000"
중추망월,33.5×45㎝,"500,000","700,000"
숙조도,41.5×29.5㎝,"1,000,000","1,000,000"
조선통신사 행...,31.5×393.7㎝,"5,000,000","5,000,000"
산수인물도,117×40.5㎝,"600,000",
암향청영,124×53㎝,"500,000",
길상가화,86×39㎝,"2,000,000",
괴석도*,64×18.5㎝,"1,000,000",
수하견호도,98.5×62.5㎝,"2,000,000","2,800,000"
사계산수 12...,120×33.5㎝,"1,800,000","1,800,000"
서각('독신호...,"서각-69.5×131㎝, 묵서-69×130㎝","600,000","900,000"
휘호('붕정만...,29×121㎝,"15,000,000","15,000,000"
시고('홍하천...,116×63㎝,"36,000,000",
휘호('공수래...,34.5×135.5㎝,"400,000",0
시화('반달'...,33×126㎝,"600,000","700,000"
나는 걸레,53×49㎝,"500,000",
무등산 계곡,45.5×53.5㎝,"800,000","1,600,000"
호반,22×27㎝,"1,000,000","1,600,000"
경복궁 나들이,19.5×30㎝,"400,000","400,000"
서로 하나되어,45.5×53㎝,"400,000","500,000"
봉황,49.5×64㎝,"500,000",
승무,37.5×45.5㎝,"3,500,000","3,800,000"
JAZZ,45.5×53㎝,"2,000,000","2,000,000"
정미소,25×25㎝,"1,000,000","1,000,000"
Mr.Kim은...,35.5×27.5㎝,"1,500,000","1,600,000"
Piece o...,91×73㎝(3EA),"30,000,000","30,000,000"
LA TÂCH...,29×20㎝,"7,500,000","7,500,000"
게이샤 소녀,35×23㎝,"1,500,000","1,500,000"
도자기 접시 ...,"접시-2.2×14×7㎝, 무제①-47×22㎝, 무제②-18×88㎝","2,500,000","2,800,000"
경부고속도로 ...,109㎝,"3,000,000","3,000,000"
마제 석검 3...,"①16.8㎝, ②27㎝, ③32㎝","600,000","900,000"
와당 11점,총 11점 일괄,"500,000","800,000"
귀면문 수막새,19.5×20×49㎝,"3,000,000",
용두 한쌍,29×8×14.5㎝(2EA),"500,000","800,000"
청자음각투각 ...,12×12×21㎝,"40,000,000","40,000,000"
분청철화 초화...,29×6.7×7.5㎝,"500,000","900,000"
청자상감 '기...,3×14×8㎝,"500,000","1,000,000"
분청 우점문잔,3.8×7×3.5㎝,"500,000",
백자청화진사채...,25×4×11㎝,"20,000,000","22,000,000"
백자 자라병,15×5.7×9㎝,"3,000,000",
백자청화 '청...,14×30.5×13㎝,"1,000,000",
백자 잔 5점,"①3.5×8×3.5㎝, ②4.2×7.5×4.5㎝, ③4.5×8.2×3.5㎝, ④3.8×6.5×4㎝, ⑤4×7.3×4.5㎝","400,000",
백자 정호완,8×15.5×5㎝,"2,000,000","2,000,000"
백자진사 쌍어...,5×14.5×9㎝,"1,500,000",
백자진사 해태...,10.5×7.4㎝,"6,000,000","6,000,000"
백자청화 초충...,9.5×2×6㎝,"3,000,000","4,500,000"
백자철화 팔괘...,5×10.8㎝,"300,000","350,000"
백자 뚜껑 2...,"①6.5×11.5㎝, ②5×12.7㎝","800,000","1,500,000"
석간주음각 명...,15×8.5×8.5㎝,"500,000","500,000"
오지 양념단지,15×6.5×17㎝,"300,000","300,000"
오지 초엽문연...,6×9㎝,"200,000","200,000"
교의,121.5×29.5×48.3㎝,"300,000","350,000"
화류목 교자상,38.5×63×107㎝,"200,000","200,000"
화류목 테이블...,"탁자-51×91×91㎝, 의자-96×63×55㎝(4EA)","600,000","1,100,000"
희자문 고비,79.5×10×21.3㎝,"1,000,000","1,000,000"
팔각 과반,8.5×43×31㎝,"500,000","500,000"
서각(인생),32×43.5㎝,"200,000","300,000"
현판('삼계당...,37×99㎝,"300,000","850,000"
현판('심담사...,34×93㎝(2EA),"600,000","1,000,000"
곱돌 양이화로,14×18×26.5㎝,"1,500,000","1,600,000"
곱돌 대접,7.5×20×10㎝,"300,000","300,000"
청동 표주박,4×10×9.8㎝,"200,000","200,000"
동제 기린향로...,36×11×43㎝,"800,000","800,000"
은제금장식 이...,2.5㎝(2EA),"500,000","500,000"
무쇠은입사 '...,14.5×20.5×17.5㎝,"6,000,000",
목제 운룡문향...,"①3×5×5㎝, ②2×4×4㎝, ③1.5×3×3㎝","2,000,000","2,000,000"
다과보,44×59㎝,"1,500,000","1,500,000"
옥제 단소,60.5㎝,"500,000","500,000"
철도원소속선로...,111.5×78.5㎝,"800,000","800,000"
조선총독부 시...,29.5×24㎝,"800,000","800,000"
목민심서 4책...,22×15.5㎝(4EA),"1,000,000","1,000,000"
설문해자익징 ...,30.5×18.5㎝(6EA),"300,000","350,000"
부범 건·곤 ...,22×17㎝(2EA),"300,000","300,000"
집희지서고시초...,37×25.5㎝,"500,000","500,000"
자작 시고첩,21×17㎝,"150,000,000",
괴석산수,40×68㎝,"1,000,000","1,200,000"
계촌모설,32.5×64㎝,"400,000","400,000"
겸가수국한,32×32.5㎝,"300,000","300,000"
백모란도,72.5×100.5㎝,"1,000,000","1,100,000"
괴석홍매도,34.5×68.5㎝,"300,000","400,000"
조죽도,30×41㎝,"700,000","800,000"
쌍학도('대수...,93×183.5㎝,"4,200,000","4,200,000"
청천 빨래터,65×127㎝,"10,000,000","11,000,000"
군양도,67×128㎝,"500,000",
장강유월,123.5×56.5㎝,"300,000","400,000"
"송학하령, 위...",65×33㎝(2EA),"1,200,000","1,300,000"
약사삼존십이신...,113.5×43㎝,"5,000,000","5,000,000"
금강산도 8폭...,53×27㎝,"2,000,000","2,000,000"
금강산사계산수...,118×30㎝,"1,000,000",
모란도 8폭연...,127×324㎝,"2,000,000","2,000,000"
묵서 5폭,43×26.5㎝,"3,000,000","3,600,000"
와당전서 8폭...,123×34㎝,"4,000,000",
휘호('신망애...,30×90㎝,"500,000","500,000"
휘호('영추재...,35×92㎝,"300,000",
휘호('심도천...,31×119.5㎝,"400,000","400,000"
휘호('천도무...,33.5×106㎝,"1,000,000","1,000,000"
휘호('보국안...,31×116㎝,"1,000,000","2,100,000"
휘호('부앙무...,55.5×138㎝,"400,000","400,000"
휘호('정의장...,26×20.5㎝,"800,000","1,000,000"
묵서('새날의...,34.5×67.5㎝,"2,000,000","2,200,000"
장미와 사과,41×53㎝,"500,000","500,000"
나룻배,31.5×31.5㎝,"500,000","500,000"
길,45×60㎝,"800,000","800,000"
통영 - 동피...,45.5×53㎝,"500,000","600,000"
울릉도,41×53㎝,"300,000","300,000"
추경,41×60.5㎝,"10,000,000",
크리스마스,53×45㎝,"800,000",
새·꽃·석류·...,34.5×27㎝,"2,500,000","2,500,000"
NOVEMBE...,91×72.5㎝,"7,000,000","7,000,000"
WORK,140×85㎝,"15,000,000","15,000,000"
분홍 블라우스...,42×33㎝,"1,200,000","1,200,000"
Bird on...,53×53㎝(2EA),"600,000","600,000"
바가지 ('무...,"①13×28×25.5㎝, ②10×20×20.5㎝, ③10×21.5×19.5㎝","700,000","1,900,000"
마제 석검 1...,총 10점 일괄,"3,000,000","4,000,000"
토기 삼이골호...,"①23×11.5×9㎝, ②22.5×11.5×9㎝","3,000,000","3,000,000"
토기 쇠뿔모양...,34×23.5×16.5㎝,"12,000,000","13,000,000"
녹유 귀면와,5×22×26㎝,"20,000,000",
분청상감 우점...,15.5×4.3×5.5㎝,"1,000,000",
분청상감 연류...,25×5×9㎝,"5,000,000","5,000,000"
분청상감 화훼...,32.5×5.5×10.5㎝,"1,200,000","1,200,000"
청자양각 연화...,7.5×9×3.5㎝,"1,000,000","1,600,000"
분청 우점문합,15×17.5×8㎝,"4,000,000","4,000,000"
청자 발,7×14.2×5.7㎝,"800,000",
청자상감 운봉...,6.5×18.5×6.3㎝,"1,200,000",
청자 화형대접...,"화형-6×18.5×5㎝, 연판문-7×17×6.8㎝, 운학문-8.2×19.5×6.5㎝","1,000,000","1,100,000"
분청 귀얄문표...,24.5×4×7㎝,"7,000,000","7,000,000"
청자 원앙형향...,19.5×9×10.3㎝,"100,000,000","100,000,000"
청자상감투각 ...,10.5×12×13.8㎝,"35,000,000","35,000,000"
청자철화채 정...,32×2×10.5㎝,"60,000,000",
백자양각 '수...,9.5×15.5×7㎝,"6,500,000","6,500,000"
백자상감 당초...,32.5×9.8×10㎝,"30,000,000","26,000,000"
백자철화채 하...,21×14.5㎝,"50,000,000","50,000,000"
"백자 유개호,...","유개호-13×5.5×7㎝, 장군-13×4.3×7㎝","2,000,000","2,200,000"
백자 소병 3...,"①12.5×3.4×5.2㎝, ②14.5×4×6㎝, ③12.5×3.5×4.8㎝","1,500,000","2,600,000"
백자 푼주,12×28×14.5㎝,"5,000,000","5,000,000"
백자청화 해오...,18×4×7.5㎝,"1,000,000","1,400,000"
백자청화채 '...,16.6×2.3×6.5㎝,"3,000,000",
백자청화 증숙...,"지석-2×18×14㎝(4EA), 합-28.5×34×12㎝","5,000,000","6,000,000"
백자진사채 육...,1.8×4.3×4.5㎝,"600,000","900,000"
백자진사 화문...,4×6.8㎝,"900,000",
화접문 화초장,179.5×35.5×63.5㎝,"1,000,000","1,500,000"
나전칠기 봉화...,21×32.5×54㎝,"600,000","600,000"
어피 사각함,13×17×32㎝,"1,200,000","1,200,000"
인장함,21×15.5×15.5㎝,"3,000,000","3,000,000"
어피 인장함,18.5×16×16㎝,"2,500,000","3,800,000"
현판('수석정...,45.5×97㎝,"1,500,000","1,500,000"
목조 비천상 ...,25×146㎝,"700,000","700,000"
석조 금강역사...,4.5×33.5×19.5㎝,"2,500,000","2,700,000"
목조 여래좌상,32×15.6×18.5㎝,"2,500,000","2,700,000"
금동 좌불,11×2.5㎝,"2,000,000","2,400,000"
청동 금입사 ...,37×30×23.3㎝,"3,500,000","10,500,000"
금제 당초문침...,12㎝,"6,000,000",
은제 매조문주...,12.5×7×6.5㎝,"600,000",
만자문 고비,60×17.5㎝,"1,500,000",
매죽산수문 일...,2.5×30×20㎝,"5,000,000","5,000,000"
자수 봉황방보,30.5×27.5㎝(2EA in 1 Frame),"15,000,000",0
죽제 영모화훼...,17×20×18㎝,"2,500,000",
청동 도철문화...,24×33.5×27㎝,"6,500,000",
"낙선재 붓, ...","붓-33㎝, 벼루-1.8×14×8㎝, 먹-6.5㎝","1,000,000",
주칠 다과상,10×30×30㎝,"500,000","2,000,000"
조선사역원일만...,29.3×22㎝,"8,000,000",
동학농민군 지...,8.5×13㎝,"5,000,000",
대한제국 혁대...,4.5×7㎝,"1,500,000",
제1회 독립군...,30×22.5㎝,"5,000,000",
함흥형무소요람...,"함흥형무소요람-18.5×13㎝, 형무소 배치도-49×69.5㎝, 형무소 사진-21×53㎝","10,000,000",
한불자전,28×19.5㎝,"15,000,000",
불교잡지 57...,"신불교-21.3×15㎝(40EA), 구불교-12×15㎝(17EA)","3,500,000",
"해좌전도, 임...","해좌전도-99×58.5㎝, 지도①-72.5×52.5㎝, 지도②-76×53.5㎝, 지도③-75.5×53.5㎝, 지도④-95×54㎝, 지도⑤-74.5×27㎝, 해내장-26.5×18.5㎝(2EA), 삼국통람도설-27×19㎝, 임자평-22×15㎝, 일본고지도집성 도록-42×29.8㎝","35,000,000",
관월도,29.5×45㎝,"500,000","500,000"
송학도,66×33.5㎝,"600,000",
선면 풍속화,22.5×73㎝,"1,500,000","1,600,000"
서낭당,32.5×47.5㎝,"500,000","600,000"
설작도,58×80.5㎝,"1,000,000",
매조도,30×41㎝,"1,000,000","1,600,000"
추산행기,60×66㎝,"2,000,000","4,200,000"
달마연봉,94.5×178㎝,"1,500,000","1,600,000"
힘찬 전진,94×135㎝,"1,500,000","1,600,000"
부귀장춘,116×34.5㎝,"500,000","500,000"
"봉황도, 현무...",52×25.5㎝(2EA),"800,000","1,000,000"
습재 이소응 ...,92×54㎝,"3,500,000","5,900,000"
오성부원군 이...,102.5×43.3㎝,"6,000,000",
책가도·문자도...,115.5×35㎝,"2,000,000","2,000,000"
고사인물도 8...,118.5×28㎝,"6,000,000",
간찰(12점)...,35.5×45㎝,"700,000","800,000"
휘호('경감세...,30×36㎝,"500,000",
묵서('신한국...,43×62㎝,"1,000,000",
고산 윤선도 ...,126.5×33.5㎝,"1,500,000","6,600,000"
유자,16×23㎝,"500,000","500,000"
자연-이미지,59×59㎝,"1,200,000","1,300,000"
불새,108×77.3㎝,"1,000,000","1,000,000"
새와 소녀,22×27㎝,"500,000","600,000"
동해추암,60×71㎝,"800,000","800,000"
덕적도,41×61㎝,"2,000,000",
제주도 유채꽃...,32×41㎝,"1,200,000","1,300,000"
아름다운 우리...,61×72.5㎝,"2,000,000",
천 피스 퍼즐,60×72㎝,"2,500,000","2,700,000"
에덴 낙원의 ...,98×174㎝,"2,000,000",
접합,32.5×39.5㎝,"7,000,000","8,500,000"
From wh...,138×217.5㎝,"8,000,000","11,500,000"
NUDE,53×46㎝,"500,000",
기다리는 마음,45.5×53㎝,"500,000","500,000"
사색의 시간,91×72.7㎝,"1,500,000","1,700,000"
도시계획(都市...,37×26㎝,"700,000","700,000"
Sketch ...,23.3×16.8㎝(2EA),"500,000","2,100,000"
A Memor...,지름-71㎝,"2,000,000",
묘법 No.8...,102×167㎝,"6,000,000",
STILL L...,56×68.5㎝,"1,200,000",
Le Cana...,63×75㎝,"1,200,000",
절규,42.5×100㎝,"1,000,000","2,000,000"
토기 삼족합,13×17×13.5㎝,"300,000","400,000"
토기 기대·호,"기대-47×21×27.5㎝, 호-25.5×18.5×9.5㎝","2,500,000","3,000,000"
토기 표형병,40×3×13㎝,"1,200,000","2,500,000"
잡상(용),30×15.5×21.5㎝,"300,000","950,000"
옹기 14점,총 14점 일괄,"1,000,000",
녹청자음각 파...,29×2.5×11.5㎝,"2,000,000","2,400,000"
녹청자 푼주,13.5×24×10㎝,"300,000","350,000"
청자철화채 병,29.8×6.5×8.5㎝,"3,500,000","3,500,000"
분청 귀얄파상...,22×7×12.5㎝,"300,000","350,000"
청자 발 4점,"①6.5×20×5㎝, ②5.5×18.5×5㎝, ③5×16.5×5㎝, ④5.6×18×5㎝","12,000,000",
청자 대접,8.5×18.5×7㎝,"300,000","300,000"
청자 접시 2...,"①2.8×10×3.5㎝, ②3×11×8.2㎝","300,000","300,000"
청자양각 누비...,6×10.5×7㎝,"300,000","400,000"
청자상감 누비...,5×8.3×4㎝,"300,000","500,000"
청자 잔 3점,"①5×11×3.2㎝, ②5.5×7.5×3㎝, ③4.6×11.7×3㎝","300,000","400,000"
청자음각 앵무...,3.2×7×3.5㎝,"700,000","700,000"
청자상감 초화...,3×5×5㎝,"700,000",
"청자 소호, ...","호-4.8×3.3×4㎝, 삼이호-4.8×4.7×4.3㎝","300,000","500,000"
백자청화 괴석...,12×8.5×8㎝,"400,000","450,000"
백자진사투각 ...,15.5×16.5×12.5㎝,"2,000,000","2,000,000"
백자철화 필세...,"①5.2×3×4㎝, ②5×3.5×4㎝, ③4.5×3×4㎝","600,000","2,200,000"
백자청화 운문...,4×6.5×6.7㎝,"500,000","600,000"
흑유 광구병,17×6.5×11㎝,"500,000","600,000"
백자 희준,19×9.8×12.5㎝,"1,000,000","1,600,000"
청자상감 포도...,34.5×2.5×9㎝,"500,000","500,000"
청자양각 연당...,45×8×12㎝,"300,000","350,000"
분청철화 만화...,35×12.5×12.5㎝,"400,000","1,500,000"
백자 달항아리,41.5×21×19.5㎝,"3,000,000","3,300,000"
깨 뒤주,35.5×29×34㎝,"800,000","800,000"
현판('운산정...,29×85㎝,"2,000,000","2,000,000"
현판('후암'...,30×60㎝,"300,000","500,000"
현판('정전백...,28.5×88㎝,"300,000","350,000"
목각 시고 8...,168.5×39㎝,"1,000,000","1,100,000"
나전칠기 고구...,128.5×60.5㎝,"300,000","500,000"
금동 약사여래...,17.5㎝,"35,000,000",
은제 락슈미상...,12.5㎝,"1,000,000","1,000,000"
석조 여래입상,19×10.5×17.5㎝,"500,000","600,000"
석조 해태상,29.5×19.5×19㎝,"400,000","1,000,000"
석제 화형향로,9×16.5×16㎝,"300,000","600,000"
주칠함,4.5×21×27㎝,"300,000","550,000"
주칠 벼루함,5.3×16×22.2㎝,"400,000","900,000"
죽제 '사우지...,16.5×20×20㎝,"3,500,000","3,500,000"
옻칠 목안,22×11×30.5㎝,"4,000,000","4,000,000"
예천 옻칠 약...,"옻칠-33㎝, 30㎝","1,000,000","1,000,000"
청동은입사 등...,"①은입사-14×9×11㎝, ②17×13×14.5㎝","400,000","500,000"
백동 화조문십...,24.2×28×20㎝,"500,000","500,000"
유기 등잔대,66㎝,"400,000","400,000"
열쇠패,15㎝,"300,000","350,000"
청동 향로,8×8.5×7.5㎝,"400,000","400,000"
활·화살·화살...,78×105㎝,"600,000","600,000"
장도 2점*,"①106㎝, ②102㎝","300,000","300,000"
엔틱 호박장식...,33㎝(2EA),"1,000,000","1,000,000"
엔틱 재봉틀(...,97×40×117㎝,"200,000","500,000"
용목 차판,16×37×51㎝,"400,000","400,000"
박정희 제9대...,"메달-4×4㎝, 조각상-39.5×13×13㎝","500,000","500,000"
박제 호랑이,72×231㎝,"3,500,000",
상아 운룡장식...,44×14×14㎝,"3,000,000","3,000,000"
ROLEX O...,36㎜,"20,000,000","20,000,000"
"윤도, 경덕단...","윤도-50×51㎝, 제사전도-38×53㎝","200,000","200,000"
삼향면 향약절...,33×19㎝,"500,000",
송광면동포리정...,35×29㎝,"500,000","1,000,000"
조선글화엄경 ...,26×18.5㎝,"2,500,000","5,000,000"
선세유묵첩,30×20.5㎝,"500,000","600,000"
필첩 2책,"①30.5×15㎝, ②32×14㎝","1,000,000","1,100,000"
필첩,29×27㎝,"500,000","700,000"
하야한거,50.5×42㎝,"300,000",
설중산사,34.5×69㎝,"300,000","400,000"
선면 월하정인,24×36㎝,"2,000,000","2,000,000"
낚시,38×41㎝,"1,000,000",0
금붕어,33×51㎝,"1,500,000","1,700,000"
나팔꽃,45×67㎝,"500,000","500,000"
의밀조동,53.5×39.5㎝,"400,000","400,000"
쌍마도,17.5×22㎝,"300,000","350,000"
사계산수,27×109㎝,"800,000","800,000"
왕자지도,62×113㎝,"1,000,000",
잉어,69×136㎝,"500,000",
송노수장,33×129.5㎝,"200,000","450,000"
현와 고광선 ...,98×57㎝,"35,000,000","53,000,000"
괴석국화도,134×36.5㎝,"500,000","600,000"
국화,124.5×33㎝,"400,000","400,000"
수하원숭이*,123×49.5㎝,"1,000,000","1,300,000"
구운몽도,73×26㎝,"200,000","250,000"
소상팔경도 2...,66.5×36.5㎝(2EA),"300,000","300,000"
어해도 대련,69×41.5㎝(2EA),"1,000,000","1,200,000"
신장도,65×45㎝,"500,000","500,000"
호렵도 6폭병...,127×34㎝,"5,500,000","5,500,000"
백동자도 8폭,75.5×31㎝,"500,000","500,000"
문자도 8폭·...,"문자도-74×26.5㎝, 산수화-77.5×26.5㎝","800,000","800,000"
신선도 10폭...,126.5×31.5㎝,"500,000",
백납도 6폭병...,"53.5×28.2㎝(1 Folding Screen, 2 Frame)","1,800,000","1,800,000"
사계산수 8폭,70.5×46㎝,"300,000","450,000"
